fold,seed,arch,horizon_s,n_wp,ade,fde,acc,best_ep
0,0,wayformer_h1s,1s,2,0.3346871346235275,0.42573889493942263,1.0,60
0,0,baseline_h1s,1s,2,0.3183983892202377,0.4275868237018585,1.0,40
0,1,wayformer_h1s,1s,2,0.3941003143787384,0.4381236910820007,1.0,20
0,1,baseline_h1s,1s,2,0.35084375739097595,0.47445679306983946,1.0,20
0,2,wayformer_h1s,1s,2,0.24841363430023194,0.3443531721830368,1.0,100
0,2,baseline_h1s,1s,2,0.30373828411102294,0.3858893275260925,1.0,100
0,0,wayformer_h3s,3s,6,0.6749895632266998,1.0754516005516053,1.0,20
0,0,baseline_h3s,3s,6,0.9444472670555115,0.9377779304981232,1.0,1
0,1,wayformer_h3s,3s,6,0.7894169807434082,1.1985119223594665,1.0,1
0,1,baseline_h3s,3s,6,0.8999553203582764,0.9571258306503296,1.0,1
0,2,wayformer_h3s,3s,6,0.6728805243968964,1.1043126463890076,1.0,20
0,2,baseline_h3s,3s,6,0.9230462193489075,1.6722851276397706,1.0,20
0,0,wayformer_h5s,5s,10,1.4090461730957031,2.6764037132263185,1.0,80
0,0,baseline_h5s,5s,10,1.54978848695755,2.821609044075012,1.0,80
0,1,wayformer_h5s,5s,10,1.5314822554588319,2.6882842779159546,1.0,80
0,1,baseline_h5s,5s,10,1.524757742881775,2.736176300048828,1.0,1
0,2,wayformer_h5s,5s,10,1.1732881784439086,2.202882993221283,1.0,20
0,2,baseline_h5s,5s,10,1.586464262008667,2.759802770614624,1.0,1
0,0,wayformer_h8s,8s,16,2.382128429412842,4.348827791213989,1.0,40
0,0,baseline_h8s,8s,16,2.360444927215576,3.8218684673309324,1.0,1
0,1,wayformer_h8s,8s,16,2.0117368698120117,3.759181523323059,1.0,40
0,1,baseline_h8s,8s,16,2.297604489326477,3.807889151573181,1.0,1
0,2,wayformer_h8s,8s,16,2.472456955909729,4.42292742729187,1.0,100
0,2,baseline_h8s,8s,16,2.366701292991638,3.8665183782577515,1.0,1
0,3,wayformer_h3s,3s,6,0.7832821130752563,1.1294235587120056,1.0,1
0,3,baseline_h3s,3s,6,0.8984209299087524,0.8981920957565308,1.0,1
0,4,wayformer_h3s,3s,6,0.684499078989029,1.2972569942474366,1.0,20
0,4,baseline_h3s,3s,6,0.8771436214447021,0.8729991376399994,1.0,1
0,5,wayformer_h3s,3s,6,0.7221325993537903,1.3242865800857544,1.0,20
0,5,baseline_h3s,3s,6,0.8972533822059632,0.9557252407073975,1.0,1
0,6,wayformer_h3s,3s,6,0.6194305300712586,1.2880583643913268,1.0,80
0,6,baseline_h3s,3s,6,0.9340525031089782,1.028033709526062,1.0,1
0,7,wayformer_h3s,3s,6,0.8597330331802369,1.246566653251648,1.0,1
0,7,baseline_h3s,3s,6,0.9179651141166687,0.9566559433937073,1.0,1
0,0,wayformer_gated_h3s,3s,6,0.8081532120704651,1.2160815358161927,1.0,1
0,1,wayformer_gated_h3s,3s,6,0.7711167216300965,1.2952590703964233,1.0,1
0,2,wayformer_gated_h3s,3s,6,0.7157658636569977,1.148862099647522,1.0,1
0,3,wayformer_gated_h3s,3s,6,0.7630777597427368,1.2301868677139283,1.0,1
0,4,wayformer_gated_h3s,3s,6,0.7925305485725402,1.240845763683319,1.0,1
0,5,wayformer_gated_h3s,3s,6,0.6683120965957642,1.1049891710281372,1.0,1
0,6,wayformer_gated_h3s,3s,6,0.7529022097587585,1.1372170925140381,1.0,1
0,7,wayformer_gated_h3s,3s,6,0.8023783326148987,1.2554536700248717,1.0,1
0,0,gatefix0.0_h3s,3s,6,0.7824772000312805,1.3748277187347413,1.0,100
0,0,gatefix0.05_h3s,3s,6,0.7876720309257508,1.2312532544136048,1.0,1
0,0,gatefix0.1_h3s,3s,6,0.7934759378433227,1.2314306259155274,1.0,1
0,0,gatefix0.2_h3s,3s,6,0.7976827979087829,1.2313825845718385,1.0,1
0,0,gatefix0.5_h3s,3s,6,0.8069192409515381,1.21515896320343,1.0,1
0,0,gatefix0.99_h3s,3s,6,0.8002695202827453,1.14846271276474,1.0,1
0,1,gatefix0.0_h3s,3s,6,0.8109276771545411,1.3349089860916137,1.0,1
0,1,gatefix0.05_h3s,3s,6,0.812851357460022,1.3667867660522461,1.0,1
0,1,gatefix0.1_h3s,3s,6,0.8069270253181458,1.3169448733329774,1.0,1
0,1,gatefix0.2_h3s,3s,6,0.805954658985138,1.3180499076843262,1.0,1
0,1,gatefix0.5_h3s,3s,6,0.7606711149215698,1.2803281664848327,1.0,1
0,1,gatefix0.99_h3s,3s,6,0.730572646856308,1.1832958221435548,1.0,1
0,2,gatefix0.0_h3s,3s,6,0.7617468476295471,1.2226180553436279,1.0,1
0,2,gatefix0.05_h3s,3s,6,0.7585781455039978,1.216311764717102,1.0,1
0,2,gatefix0.1_h3s,3s,6,0.7514088988304138,1.2082769989967346,1.0,1
0,2,gatefix0.2_h3s,3s,6,0.7417531609535217,1.185855793952942,1.0,1
0,2,gatefix0.5_h3s,3s,6,0.7155109226703644,1.1488403797149658,1.0,1
0,2,gatefix0.99_h3s,3s,6,0.7181881010532379,1.1554264187812806,1.0,1
0,3,gatefix0.0_h3s,3s,6,0.8045454978942871,1.3086630940437316,1.0,1
0,3,gatefix0.05_h3s,3s,6,0.7918343782424927,1.2938366532325745,1.0,1
0,3,gatefix0.1_h3s,3s,6,0.7792442560195922,1.2741751194000244,1.0,1
0,3,gatefix0.2_h3s,3s,6,0.7816184282302856,1.2960305333137512,1.0,1
0,3,gatefix0.5_h3s,3s,6,0.7619590282440185,1.2276455640792847,1.0,1
0,3,gatefix0.99_h3s,3s,6,0.7876347422599792,1.2483686447143554,1.0,1
0,4,gatefix0.0_h3s,3s,6,0.7860248446464538,1.2554513216018677,1.0,1
0,4,gatefix0.05_h3s,3s,6,0.7845287442207336,1.2473880648612976,1.0,1
0,4,gatefix0.1_h3s,3s,6,0.7889641642570495,1.2579992175102235,1.0,1
0,4,gatefix0.2_h3s,3s,6,0.7842247009277343,1.2487749934196473,1.0,1
0,4,gatefix0.5_h3s,3s,6,0.7921953558921814,1.2402981042861938,1.0,1
0,4,gatefix0.99_h3s,3s,6,0.8381623148918151,1.2912152886390686,1.0,1
0,5,gatefix0.0_h3s,3s,6,0.753272557258606,1.321848249435425,1.0,1
0,5,gatefix0.05_h3s,3s,6,0.7460731506347656,1.313282036781311,1.0,1
0,5,gatefix0.1_h3s,3s,6,0.7221383333206177,1.2763200283050538,1.0,1
0,5,gatefix0.2_h3s,3s,6,0.7260874509811401,1.275626003742218,1.0,1
0,5,gatefix0.5_h3s,3s,6,0.6656185567378998,1.1003350853919982,1.0,1
